subject,crossover_operator,inheritance_rate,hybrid
Rhino,Linked,0.984338,true
Rhino,Two Point,0.009497,true
Rhino,One Point,0.602564,true
Rhino,Linked,0.964862,true
Rhino,Two Point,0.377281,false
Rhino,One Point,0.038777,false
Rhino,Linked,0.377281,false
Rhino,Two Point,0.049679,false
Rhino,One Point,0.241379,true
Rhino,Linked,0.050263,false
Rhino,Two Point,0.372928,true
Rhino,One Point,0.690608,true
Rhino,Linked,0.853591,false
Rhino,Two Point,0.009696,true
Rhino,One Point,0.726391,true
Rhino,Linked,0.816610,true
Rhino,Two Point,0.150714,false
Rhino,One Point,0.177684,true
Rhino,Linked,0.157060,false
Rhino,Two Point,0.424614,false
Rhino,One Point,0.044752,false
Rhino,Linked,0.426212,false
Rhino,Two Point,0.331370,true
Rhino,One Point,0.047109,false
Rhino,Linked,0.317452,true
Rhino,Two Point,0.043337,true
Rhino,One Point,0.404659,false
Rhino,Linked,0.402492,false
Rhino,Two Point,0.715278,true
Rhino,One Point,0.208333,false
Rhino,Linked,0.208333,false
Rhino,Two Point,0.347635,false
Rhino,One Point,0.040468,false
Rhino,Linked,0.348123,false
Rhino,Two Point,0.949309,false
Rhino,One Point,0.130568,false
Rhino,Linked,0.952381,false
Rhino,Two Point,0.044290,false
Rhino,One Point,0.043757,false
Rhino,Linked,0.044290,false
Rhino,Two Point,0.965978,false
Rhino,One Point,0.103281,false
Rhino,Linked,0.962333,true
Rhino,Two Point,0.097355,false
Rhino,One Point,0.008441,false
Rhino,Linked,0.991559,true
Rhino,Two Point,0.036879,false
Rhino,One Point,0.396690,false
Rhino,Linked,0.395745,true
Rhino,Two Point,0.024065,true
Rhino,One Point,0.242372,false
Rhino,Linked,0.804899,true
Rhino,Two Point,0.804493,true
Rhino,One Point,0.018642,true
Rhino,Linked,0.938815,true
Rhino,Two Point,0.789154,true
Rhino,One Point,0.879878,true
Rhino,Linked,0.935124,true
Rhino,Two Point,0.868870,true
Rhino,One Point,0.528785,true
Rhino,Linked,0.481876,true
Rhino,Two Point,0.907970,true
Rhino,One Point,0.164339,true
Rhino,Linked,0.911257,true
Rhino,Two Point,0.854749,true
Rhino,One Point,0.209497,true
Rhino,Linked,0.268156,true
Rhino,Two Point,0.013189,false
Rhino,One Point,0.672062,false
Rhino,Linked,0.672062,false
Rhino,Two Point,0.222703,true
Rhino,One Point,0.183261,true
Rhino,Linked,0.929774,true
Rhino,Two Point,0.015478,true
Rhino,One Point,0.158651,true
Rhino,Linked,0.636816,true
Rhino,Two Point,0.819921,true
Rhino,One Point,0.010554,true
Rhino,Linked,0.220317,true
Rhino,Two Point,0.845627,true
Rhino,One Point,0.209125,false
Rhino,Linked,0.944487,true
Rhino,Two Point,0.864865,true
